x_adj,y_adj,z(m),,x(m),y(m),z(m),,easting,northing,,,,
-0.157086,52.406318,-0.993,,3.013,-3.57,-0.993,,489382.06,6203459.923,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.137086,52.384318,-0.745,,3.033,-3.592,-0.745,,489382.038,6203459.943,,,,
-0.157086,52.406318,-0.993,,3.013,-3.57,-0.993,,489382.06,6203459.923,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.206086,52.439318,-1.151,,2.964,-3.537,-1.151,,489382.093,6203459.874,,,,
-0.187086,52.417318,-1.244,,2.983,-3.559,-1.244,,489382.071,6203459.893,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.148086,52.375318,-0.745,,3.022,-3.601,-0.745,,489382.029,6203459.932,,,,
-0.203086,52.439318,-0.981,,2.967,-3.537,-0.981,,489382.093,6203459.877,,,,
-0.185086,52.416318,-1.073,,2.985,-3.56,-1.073,,489382.07,6203459.895,,,,
-0.206086,52.439318,-1.151,,2.964,-3.537,-1.151,,489382.093,6203459.874,,,,
-0.187086,52.417318,-1.244,,2.983,-3.559,-1.244,,489382.071,6203459.893,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.194086,52.405318,-0.988,,2.976,-3.571,-0.988,,489382.059,6203459.886,,,,
-0.196086,52.407318,-1.073,,2.974,-3.569,-1.073,,489382.061,6203459.884,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.154086,52.359318,-0.746,,3.016,-3.617,-0.746,,489382.013,6203459.926,,,,
-0.143086,52.345318,-0.834,,3.027,-3.631,-0.834,,489381.999,6203459.937,,,,
-0.194086,52.405318,-0.988,,2.976,-3.571,-0.988,,489382.059,6203459.886,,,,
-0.196086,52.407318,-1.073,,2.974,-3.569,-1.073,,489382.061,6203459.884,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.166086,52.350318,-0.746,,3.004,-3.626,-0.746,,489382.004,6203459.914,,,,
-0.159086,52.342318,-0.832,,3.011,-3.634,-0.832,,489381.996,6203459.921,,,,
-0.162086,52.344318,-0.917,,3.008,-3.632,-0.917,,489381.998,6203459.918,,,,
-0.160086,52.342318,-1.003,,3.01,-3.634,-1.003,,489381.996,6203459.92,,,,
-0.160086,52.340318,-1.09,,3.01,-3.636,-1.09,,489381.994,6203459.92,,,,
-0.151086,52.328318,-1.181,,3.019,-3.648,-1.181,,489381.982,6203459.929,,,,
-0.167086,52.348318,-1.262,,3.003,-3.628,-1.262,,489382.002,6203459.913,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.166086,52.350318,-0.746,,3.004,-3.626,-0.746,,489382.004,6203459.914,,,,
-0.159086,52.342318,-0.832,,3.011,-3.634,-0.832,,489381.996,6203459.921,,,,
-0.162086,52.344318,-0.917,,3.008,-3.632,-0.917,,489381.998,6203459.918,,,,
-0.160086,52.342318,-1.003,,3.01,-3.634,-1.003,,489381.996,6203459.92,,,,
-0.160086,52.340318,-1.09,,3.01,-3.636,-1.09,,489381.994,6203459.92,,,,
-0.151086,52.328318,-1.181,,3.019,-3.648,-1.181,,489381.982,6203459.929,,,,
-0.167086,52.348318,-1.262,,3.003,-3.628,-1.262,,489382.002,6203459.913,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.190086,52.355318,-0.743,,2.98,-3.621,-0.743,,489382.009,6203459.89,,,,
-0.176086,52.339318,-0.831,,2.994,-3.637,-0.831,,489381.993,6203459.904,,,,
-0.176086,52.338318,-0.916,,2.994,-3.638,-0.916,,489381.992,6203459.904,,,,
-0.174086,52.335318,-1.002,,2.996,-3.641,-1.002,,489381.989,6203459.906,,,,
-0.174086,52.334318,-1.089,,2.996,-3.642,-1.089,,489381.988,6203459.906,,,,
-0.177086,52.337318,-1.175,,2.993,-3.639,-1.175,,489381.991,6203459.903,,,,
-0.188086,52.350318,-1.258,,2.982,-3.626,-1.258,,489382.004,6203459.892,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.190086,52.355318,-0.743,,2.98,-3.621,-0.743,,489382.009,6203459.89,,,,
-0.176086,52.339318,-0.831,,2.994,-3.637,-0.831,,489381.993,6203459.904,,,,
-0.176086,52.338318,-0.916,,2.994,-3.638,-0.916,,489381.992,6203459.904,,,,
-0.174086,52.335318,-1.002,,2.996,-3.641,-1.002,,489381.989,6203459.906,,,,
-0.174086,52.334318,-1.089,,2.996,-3.642,-1.089,,489381.988,6203459.906,,,,
-0.177086,52.337318,-1.175,,2.993,-3.639,-1.175,,489381.991,6203459.903,,,,
-0.188086,52.350318,-1.258,,2.982,-3.626,-1.258,,489382.004,6203459.892,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.191086,52.334318,-0.745,,2.979,-3.642,-0.745,,489381.988,6203459.889,,,,
-0.180086,52.320318,-0.833,,2.99,-3.656,-0.833,,489381.974,6203459.9,,,,
-0.188086,52.328318,-0.916,,2.982,-3.648,-0.916,,489381.982,6203459.892,,,,
-0.188086,52.329318,-1.001,,2.982,-3.647,-1.001,,489381.983,6203459.892,,,,
-0.200086,52.343318,-1.083,,2.97,-3.633,-1.083,,489381.997,6203459.88,,,,
-0.186086,52.324318,-1.176,,2.984,-3.652,-1.176,,489381.978,6203459.894,,,,
-0.205086,52.347318,-1.256,,2.965,-3.629,-1.256,,489382.001,6203459.875,,,,
-0.220086,52.364318,-1.337,,2.95,-3.612,-1.337,,489382.018,6203459.86,,,,
-0.191086,52.334318,-0.745,,2.979,-3.642,-0.745,,489381.988,6203459.889,,,,
-0.180086,52.320318,-0.833,,2.99,-3.656,-0.833,,489381.974,6203459.9,,,,
-0.188086,52.328318,-0.916,,2.982,-3.648,-0.916,,489381.982,6203459.892,,,,
-0.188086,52.329318,-1.001,,2.982,-3.647,-1.001,,489381.983,6203459.892,,,,
-0.200086,52.343318,-1.083,,2.97,-3.633,-1.083,,489381.997,6203459.88,,,,
-0.186086,52.324318,-1.176,,2.984,-3.652,-1.176,,489381.978,6203459.894,,,,
-0.205086,52.347318,-1.256,,2.965,-3.629,-1.256,,489382.001,6203459.875,,,,
-0.220086,52.364318,-1.337,,2.95,-3.612,-1.337,,489382.018,6203459.86,,,,
-0.195086,52.315318,-0.747,,2.975,-3.661,-0.747,,489381.969,6203459.885,,,,
-0.196086,52.317318,-0.831,,2.974,-3.659,-0.831,,489381.971,6203459.884,,,,
-0.187086,52.304318,-0.92,,2.983,-3.672,-0.92,,489381.958,6203459.893,,,,
-0.207086,52.329318,-0.999,,2.963,-3.647,-0.999,,489381.983,6203459.873,,,,
-0.214086,52.336318,-1.082,,2.956,-3.64,-1.082,,489381.99,6203459.866,,,,
-0.203086,52.321318,-1.174,,2.967,-3.655,-1.174,,489381.975,6203459.877,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.200086,52.316318,-1.352,,2.97,-3.66,-1.352,,489381.97,6203459.88,,,,
-0.195086,52.315318,-0.747,,2.975,-3.661,-0.747,,489381.969,6203459.885,,,,
-0.196086,52.317318,-0.831,,2.974,-3.659,-0.831,,489381.971,6203459.884,,,,
-0.187086,52.304318,-0.92,,2.983,-3.672,-0.92,,489381.958,6203459.893,,,,
-0.207086,52.329318,-0.999,,2.963,-3.647,-0.999,,489381.983,6203459.873,,,,
-0.214086,52.336318,-1.082,,2.956,-3.64,-1.082,,489381.99,6203459.866,,,,
-0.203086,52.321318,-1.174,,2.967,-3.655,-1.174,,489381.975,6203459.877,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.200086,52.316318,-1.352,,2.97,-3.66,-1.352,,489381.97,6203459.88,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.144086,52.227318,-0.936,,3.026,-3.749,-0.936,,489381.881,6203459.936,,,,
-0.182086,52.274318,-1.011,,2.988,-3.702,-1.011,,489381.928,6203459.898,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.198086,52.295318,-0.834,,2.972,-3.681,-0.834,,489381.949,6203459.882,,,,
-0.144086,52.227318,-0.936,,3.026,-3.749,-0.936,,489381.881,6203459.936,,,,
-0.182086,52.274318,-1.011,,2.988,-3.702,-1.011,,489381.928,6203459.898,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.141086,52.199318,-0.941,,3.029,-3.777,-0.941,,489381.853,6203459.939,,,,
-0.139086,52.197318,-1.03,,3.031,-3.779,-1.03,,489381.851,6203459.941,,,,
-0.145086,52.202318,-1.117,,3.025,-3.774,-1.117,,489381.856,6203459.935,,,,
-0.153086,52.211318,-1.203,,3.017,-3.765,-1.203,,489381.865,6203459.927,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.141086,52.199318,-0.941,,3.029,-3.777,-0.941,,489381.853,6203459.939,,,,
-0.139086,52.197318,-1.03,,3.031,-3.779,-1.03,,489381.851,6203459.941,,,,
-0.145086,52.202318,-1.117,,3.025,-3.774,-1.117,,489381.856,6203459.935,,,,
-0.153086,52.211318,-1.203,,3.017,-3.765,-1.203,,489381.865,6203459.927,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.155086,52.193318,-0.94,,3.015,-3.783,-0.94,,489381.847,6203459.925,,,,
-0.154086,52.191318,-1.029,,3.016,-3.785,-1.029,,489381.845,6203459.926,,,,
-0.152086,52.187318,-1.118,,3.018,-3.789,-1.118,,489381.841,6203459.928,,,,
-0.158086,52.193318,-1.206,,3.012,-3.783,-1.206,,489381.847,6203459.922,,,,
-0.154086,52.189318,-1.297,,3.016,-3.787,-1.297,,489381.843,6203459.926,,,,
-0.150086,52.182318,-1.39,,3.02,-3.794,-1.39,,489381.836,6203459.93,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.155086,52.193318,-0.94,,3.015,-3.783,-0.94,,489381.847,6203459.925,,,,
-0.154086,52.191318,-1.029,,3.016,-3.785,-1.029,,489381.845,6203459.926,,,,
-0.152086,52.187318,-1.118,,3.018,-3.789,-1.118,,489381.841,6203459.928,,,,
-0.158086,52.193318,-1.206,,3.012,-3.783,-1.206,,489381.847,6203459.922,,,,
-0.154086,52.189318,-1.297,,3.016,-3.787,-1.297,,489381.843,6203459.926,,,,
-0.150086,52.182318,-1.39,,3.02,-3.794,-1.39,,489381.836,6203459.93,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.160086,52.174318,-0.943,,3.01,-3.802,-0.943,,489381.828,6203459.92,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.155086,52.165318,-1.212,,3.015,-3.811,-1.212,,489381.819,6203459.925,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.160086,52.174318,-0.943,,3.01,-3.802,-0.943,,489381.828,6203459.92,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.155086,52.165318,-1.212,,3.015,-3.811,-1.212,,489381.819,6203459.925,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.157086,52.146318,-0.947,,3.013,-3.83,-0.947,,489381.8,6203459.923,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.157086,52.146318,-0.947,,3.013,-3.83,-0.947,,489381.8,6203459.923,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.150086,52.114318,-0.777,,3.02,-3.862,-0.777,,489381.768,6203459.93,,,,
-0.145086,52.106318,-0.955,,3.025,-3.87,-0.955,,489381.76,6203459.935,,,,
-0.118086,52.069318,-1.145,,3.052,-3.907,-1.145,,489381.723,6203459.962,,,,
-0.124086,52.076318,-1.234,,3.046,-3.9,-1.234,,489381.73,6203459.956,,,,
-0.107086,52.054318,-1.333,,3.063,-3.922,-1.333,,489381.708,6203459.973,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.150086,52.114318,-0.777,,3.02,-3.862,-0.777,,489381.768,6203459.93,,,,
-0.145086,52.106318,-0.955,,3.025,-3.87,-0.955,,489381.76,6203459.935,,,,
-0.125086,52.079318,-1.051,,3.045,-3.897,-1.051,,489381.733,6203459.955,,,,
-0.118086,52.069318,-1.145,,3.052,-3.907,-1.145,,489381.723,6203459.962,,,,
-0.124086,52.076318,-1.234,,3.046,-3.9,-1.234,,489381.73,6203459.956,,,,
-0.107086,52.054318,-1.333,,3.063,-3.922,-1.333,,489381.708,6203459.973,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.157086,52.098318,-0.778,,3.013,-3.878,-0.778,,489381.752,6203459.923,,,,
-0.150086,52.087318,-0.957,,3.02,-3.889,-0.957,,489381.741,6203459.93,,,,
-0.130086,52.061318,-1.054,,3.04,-3.915,-1.054,,489381.715,6203459.95,,,,
-0.123086,52.051318,-1.147,,3.047,-3.925,-1.147,,489381.705,6203459.957,,,,
-0.129086,52.057318,-1.237,,3.041,-3.919,-1.237,,489381.711,6203459.951,,,,
-0.129086,52.057318,-1.329,,3.041,-3.919,-1.329,,489381.711,6203459.951,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.157086,52.098318,-0.778,,3.013,-3.878,-0.778,,489381.752,6203459.923,,,,
-0.150086,52.087318,-0.957,,3.02,-3.889,-0.957,,489381.741,6203459.93,,,,
-0.130086,52.061318,-1.054,,3.04,-3.915,-1.054,,489381.715,6203459.95,,,,
-0.123086,52.051318,-1.147,,3.047,-3.925,-1.147,,489381.705,6203459.957,,,,
-0.129086,52.057318,-1.237,,3.041,-3.919,-1.237,,489381.711,6203459.951,,,,
-0.129086,52.057318,-1.329,,3.041,-3.919,-1.329,,489381.711,6203459.951,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.101086,51.971318,-0.981,,3.069,-4.005,-0.981,,489381.625,6203459.979,,,,
-0.080086,51.945318,-1.079,,3.09,-4.031,-1.079,,489381.599,6203460,,,,
-3.170086,55.976318,0,,0,0,0,,489385.63,6203456.91,,,,
-0.111086,51.983318,-1.254,,3.059,-3.993,-1.254,,489381.637,6203459.969,,,,
