Ch,AziCorr(deg),Dist(m),Rfl,Azi(deg),Ele(deg),t(us),x(m),y(m),z(m),,x_adj,y_adj
26,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
28,138.4,4.48,2,138.24,-12,938297,2.91,-3.276,-0.931,,-0.260086,52.700318
29,138.41,4.508,0,138.24,-13,938297,2.916,-3.285,-1.014,,-0.254086,52.691318
30,138.41,4.516,1,138.24,-14,938297,2.909,-3.277,-1.093,,-0.261086,52.699318
31,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
26,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
28,138.4,4.48,2,138.24,-12,938297,2.91,-3.276,-0.931,,-0.260086,52.700318
29,138.41,4.508,0,138.24,-13,938297,2.916,-3.285,-1.014,,-0.254086,52.691318
30,138.41,4.516,1,138.24,-14,938297,2.909,-3.277,-1.093,,-0.261086,52.699318
31,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.24,0,938297,0,0,0,,-3.170086,55.976318
26,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
28,138.58,4.496,1,138.42,-12,938297,2.91,-3.297,-0.935,,-0.260086,52.679318
29,138.59,4.488,0,138.42,-13,938297,2.893,-3.279,-1.01,,-0.277086,52.697318
30,138.59,4.516,1,138.42,-14,938297,2.898,-3.286,-1.093,,-0.272086,52.690318
31,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
26,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
28,138.58,4.496,1,138.42,-12,938297,2.91,-3.297,-0.935,,-0.260086,52.679318
29,138.59,4.488,0,138.42,-13,938297,2.893,-3.279,-1.01,,-0.277086,52.697318
30,138.59,4.516,1,138.42,-14,938297,2.898,-3.286,-1.093,,-0.272086,52.690318
31,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.42,0,938297,0,0,0,,-3.170086,55.976318
28,138.76,4.508,1,138.6,-12,938297,2.907,-3.315,-0.937,,-0.263086,52.661318
29,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
30,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
31,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
26,138.75,4.392,0,138.6,-10,938297,2.852,-3.251,-0.763,,-0.318086,52.725318
28,138.76,4.508,1,138.6,-12,938297,2.907,-3.315,-0.937,,-0.263086,52.661318
29,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
30,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
31,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.6,0,938297,0,0,0,,-3.170086,55.976318
28,138.94,4.532,1,138.78,-12,938297,2.912,-3.342,-0.942,,-0.258086,52.634318
31,0,0,0,138.78,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.78,0,938297,0,0,0,,-3.170086,55.976318
28,138.94,4.532,1,138.78,-12,938297,2.912,-3.342,-0.942,,-0.258086,52.634318
31,0,0,0,138.78,0,938297,0,0,0,,-3.170086,55.976318
32,0,0,0,138.78,0,938297,0,0,0,,-3.170086,55.976318
28,139.12,4.548,3,138.96,-12,938498,2.912,-3.363,-0.946,,-0.258086,52.613318
29,0,0,0,138.96,0,938498,0,0,0,,-3.170086,55.976318
30,139.13,4.636,0,138.96,-14,938498,2.943,-3.402,-1.122,,-0.227086,52.574318
31,0,0,0,138.96,0,938498,0,0,0,,-3.170086,55.976318
32,0,0,0,138.96,0,938498,0,0,0,,-3.170086,55.976318
28,139.12,4.548,3,138.96,-12,938498,2.912,-3.363,-0.946,,-0.258086,52.613318
29,0,0,0,138.96,0,938498,0,0,0,,-3.170086,55.976318
30,139.13,4.636,0,138.96,-14,938498,2.943,-3.402,-1.122,,-0.227086,52.574318
31,0,0,0,138.96,0,938498,0,0,0,,-3.170086,55.976318
32,0,0,0,138.96,0,938498,0,0,0,,-3.170086,55.976318
28,139.3,4.604,0,139.14,-12,938498,2.937,-3.414,-0.957,,-0.233086,52.562318
30,139.31,4.636,3,139.14,-14,938498,2.933,-3.411,-1.122,,-0.237086,52.565318
31,139.32,4.644,1,139.14,-15,938498,2.925,-3.401,-1.202,,-0.245086,52.575318
32,139.32,4.68,1,139.14,-16,938498,2.932,-3.412,-1.29,,-0.238086,52.564318
28,139.3,4.604,0,139.14,-12,938498,2.937,-3.414,-0.957,,-0.233086,52.562318
29,139.31,4.616,0,139.14,-13,938498,2.933,-3.41,-1.038,,-0.237086,52.566318
30,139.31,4.636,3,139.14,-14,938498,2.933,-3.411,-1.122,,-0.237086,52.565318
31,139.32,4.644,1,139.14,-15,938498,2.925,-3.401,-1.202,,-0.245086,52.575318
32,139.32,4.68,1,139.14,-16,938498,2.932,-3.412,-1.29,,-0.238086,52.564318
28,139.48,4.592,0,139.32,-12,938498,2.919,-3.414,-0.955,,-0.251086,52.562318
29,0,0,0,139.32,0,938498,0,0,0,,-3.170086,55.976318
30,139.49,4.596,0,139.32,-14,938498,2.897,-3.391,-1.112,,-0.273086,52.585318
31,0,0,0,139.32,0,938498,0,0,0,,-3.170086,55.976318
32,0,0,0,139.32,0,938498,0,0,0,,-3.170086,55.976318
28,139.48,4.592,0,139.32,-12,938498,2.919,-3.414,-0.955,,-0.251086,52.562318
29,0,0,0,139.32,0,938498,0,0,0,,-3.170086,55.976318
30,139.49,4.596,0,139.32,-14,938498,2.897,-3.391,-1.112,,-0.273086,52.585318
31,0,0,0,139.32,0,938498,0,0,0,,-3.170086,55.976318
32,0,0,0,139.32,0,938498,0,0,0,,-3.170086,55.976318
31,0,0,0,139.5,0,938498,0,0,0,,-3.170086,55.976318
32,0,0,0,139.5,0,938498,0,0,0,,-3.170086,55.976318
25,139.64,4.752,0,139.5,-9,938498,3.039,-3.576,-0.743,,-0.131086,52.400318
31,0,0,0,139.5,0,938498,0,0,0,,-3.170086,55.976318
32,0,0,0,139.5,0,938498,0,0,0,,-3.170086,55.976318
28,139.84,4.776,0,139.68,-12,938697,3.013,-3.57,-0.993,,-0.157086,52.406318
29,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
30,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
31,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
32,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
25,139.82,4.76,2,139.68,-9,938697,3.033,-3.592,-0.745,,-0.137086,52.384318
28,139.84,4.776,0,139.68,-12,938697,3.013,-3.57,-0.993,,-0.157086,52.406318
29,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
30,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
31,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
32,0,0,0,139.68,0,938697,0,0,0,,-3.170086,55.976318
30,140.03,4.756,0,139.86,-14,938697,2.964,-3.537,-1.151,,-0.206086,52.439318
31,140.04,4.808,0,139.86,-15,938697,2.983,-3.559,-1.244,,-0.187086,52.417318
32,0,0,0,139.86,0,938697,0,0,0,,-3.170086,55.976318
25,140,4.76,4,139.86,-9,938697,3.022,-3.601,-0.745,,-0.148086,52.375318
28,140.02,4.72,1,139.86,-12,938697,2.967,-3.537,-0.981,,-0.203086,52.439318
29,140.03,4.768,0,139.86,-13,938697,2.985,-3.56,-1.073,,-0.185086,52.416318
30,140.03,4.756,0,139.86,-14,938697,2.964,-3.537,-1.151,,-0.206086,52.439318
31,140.04,4.808,0,139.86,-15,938697,2.983,-3.559,-1.244,,-0.187086,52.417318
32,0,0,0,139.86,0,938697,0,0,0,,-3.170086,55.976318
28,140.2,4.752,0,140.04,-12,938697,2.976,-3.571,-0.988,,-0.194086,52.405318
29,140.21,4.768,0,140.04,-13,938697,2.974,-3.569,-1.073,,-0.196086,52.407318
30,0,0,0,140.04,0,938697,0,0,0,,-3.170086,55.976318
31,0,0,0,140.04,0,938697,0,0,0,,-3.170086,55.976318
32,0,0,0,140.04,0,938697,0,0,0,,-3.170086,55.976318
25,140.18,4.768,6,140.04,-9,938697,3.016,-3.617,-0.746,,-0.154086,52.359318
26,140.19,4.8,0,140.04,-10,938697,3.027,-3.631,-0.834,,-0.143086,52.345318
28,140.2,4.752,0,140.04,-12,938697,2.976,-3.571,-0.988,,-0.194086,52.405318
29,140.21,4.768,0,140.04,-13,938697,2.974,-3.569,-1.073,,-0.196086,52.407318
30,0,0,0,140.04,0,938697,0,0,0,,-3.170086,55.976318
31,0,0,0,140.04,0,938697,0,0,0,,-3.170086,55.976318
32,0,0,0,140.04,0,938697,0,0,0,,-3.170086,55.976318
25,140.36,4.768,5,140.22,-9,938697,3.004,-3.626,-0.746,,-0.166086,52.350318
26,140.37,4.792,2,140.22,-10,938697,3.011,-3.634,-0.832,,-0.159086,52.342318
27,140.37,4.804,1,140.22,-11,938697,3.008,-3.632,-0.917,,-0.162086,52.344318
28,140.38,4.824,1,140.22,-12,938697,3.01,-3.634,-1.003,,-0.160086,52.342318
29,140.39,4.844,1,140.22,-13,938697,3.01,-3.636,-1.09,,-0.160086,52.340318
30,140.39,4.88,0,140.22,-14,938697,3.019,-3.648,-1.181,,-0.151086,52.328318
31,140.4,4.876,0,140.22,-15,938697,3.003,-3.628,-1.262,,-0.167086,52.348318
32,0,0,0,140.22,0,938697,0,0,0,,-3.170086,55.976318
25,140.36,4.768,5,140.22,-9,938697,3.004,-3.626,-0.746,,-0.166086,52.350318
26,140.37,4.792,2,140.22,-10,938697,3.011,-3.634,-0.832,,-0.159086,52.342318
27,140.37,4.804,1,140.22,-11,938697,3.008,-3.632,-0.917,,-0.162086,52.344318
28,140.38,4.824,1,140.22,-12,938697,3.01,-3.634,-1.003,,-0.160086,52.342318
29,140.39,4.844,1,140.22,-13,938697,3.01,-3.636,-1.09,,-0.160086,52.340318
30,140.39,4.88,0,140.22,-14,938697,3.019,-3.648,-1.181,,-0.151086,52.328318
31,140.4,4.876,0,140.22,-15,938697,3.003,-3.628,-1.262,,-0.167086,52.348318
32,0,0,0,140.22,0,938697,0,0,0,,-3.170086,55.976318
25,140.54,4.748,2,140.4,-9,938898,2.98,-3.621,-0.743,,-0.190086,52.355318
26,140.55,4.784,2,140.4,-10,938898,2.994,-3.637,-0.831,,-0.176086,52.339318
27,140.55,4.8,1,140.4,-11,938898,2.994,-3.638,-0.916,,-0.176086,52.338318
28,140.56,4.82,1,140.4,-12,938898,2.996,-3.641,-1.002,,-0.174086,52.335318
29,140.57,4.84,0,140.4,-13,938898,2.996,-3.642,-1.089,,-0.174086,52.334318
30,140.57,4.856,0,140.4,-14,938898,2.993,-3.639,-1.175,,-0.177086,52.337318
31,140.58,4.86,0,140.4,-15,938898,2.982,-3.626,-1.258,,-0.188086,52.350318
32,0,0,0,140.4,0,938898,0,0,0,,-3.170086,55.976318
25,140.54,4.748,2,140.4,-9,938898,2.98,-3.621,-0.743,,-0.190086,52.355318
26,140.55,4.784,2,140.4,-10,938898,2.994,-3.637,-0.831,,-0.176086,52.339318
27,140.55,4.8,1,140.4,-11,938898,2.994,-3.638,-0.916,,-0.176086,52.338318
28,140.56,4.82,1,140.4,-12,938898,2.996,-3.641,-1.002,,-0.174086,52.335318
29,140.57,4.84,0,140.4,-13,938898,2.996,-3.642,-1.089,,-0.174086,52.334318
30,140.57,4.856,0,140.4,-14,938898,2.993,-3.639,-1.175,,-0.177086,52.337318
31,140.58,4.86,0,140.4,-15,938898,2.982,-3.626,-1.258,,-0.188086,52.350318
32,0,0,0,140.4,0,938898,0,0,0,,-3.170086,55.976318
25,140.72,4.764,2,140.58,-9,938898,2.979,-3.642,-0.745,,-0.191086,52.334318
26,140.73,4.796,2,140.58,-10,938898,2.99,-3.656,-0.833,,-0.180086,52.320318
27,140.73,4.8,1,140.58,-11,938898,2.982,-3.648,-0.916,,-0.188086,52.328318
28,140.74,4.816,1,140.58,-12,938898,2.982,-3.647,-1.001,,-0.188086,52.329318
29,140.75,4.816,1,140.58,-13,938898,2.97,-3.633,-1.083,,-0.200086,52.343318
30,140.75,4.86,1,140.58,-14,938898,2.984,-3.652,-1.176,,-0.186086,52.324318
31,140.76,4.852,0,140.58,-15,938898,2.965,-3.629,-1.256,,-0.205086,52.347318
32,140.76,4.852,1,140.58,-16,938898,2.95,-3.612,-1.337,,-0.220086,52.364318
25,140.72,4.764,2,140.58,-9,938898,2.979,-3.642,-0.745,,-0.191086,52.334318
26,140.73,4.796,2,140.58,-10,938898,2.99,-3.656,-0.833,,-0.180086,52.320318
27,140.73,4.8,1,140.58,-11,938898,2.982,-3.648,-0.916,,-0.188086,52.328318
28,140.74,4.816,1,140.58,-12,938898,2.982,-3.647,-1.001,,-0.188086,52.329318
29,140.75,4.816,1,140.58,-13,938898,2.97,-3.633,-1.083,,-0.200086,52.343318
30,140.75,4.86,1,140.58,-14,938898,2.984,-3.652,-1.176,,-0.186086,52.324318
31,140.76,4.852,0,140.58,-15,938898,2.965,-3.629,-1.256,,-0.205086,52.347318
32,140.76,4.852,1,140.58,-16,938898,2.95,-3.612,-1.337,,-0.220086,52.364318
25,140.9,4.776,1,140.76,-9,938898,2.975,-3.661,-0.747,,-0.195086,52.315318
26,140.91,4.788,0,140.76,-10,938898,2.974,-3.659,-0.831,,-0.196086,52.317318
27,140.91,4.82,0,140.76,-11,938898,2.983,-3.672,-0.92,,-0.187086,52.304318
28,140.92,4.804,0,140.76,-12,938898,2.963,-3.647,-0.999,,-0.207086,52.329318
29,140.93,4.812,0,140.76,-13,938898,2.956,-3.64,-1.082,,-0.214086,52.336318
30,140.93,4.852,2,140.76,-14,938898,2.967,-3.655,-1.174,,-0.203086,52.321318
31,0,0,0,140.76,0,938898,0,0,0,,-3.170086,55.976318
32,140.94,4.904,3,140.76,-16,938898,2.97,-3.66,-1.352,,-0.200086,52.316318
25,140.9,4.776,1,140.76,-9,938898,2.975,-3.661,-0.747,,-0.195086,52.315318
26,140.91,4.788,0,140.76,-10,938898,2.974,-3.659,-0.831,,-0.196086,52.317318
27,140.91,4.82,0,140.76,-11,938898,2.983,-3.672,-0.92,,-0.187086,52.304318
28,140.92,4.804,0,140.76,-12,938898,2.963,-3.647,-0.999,,-0.207086,52.329318
29,140.93,4.812,0,140.76,-13,938898,2.956,-3.64,-1.082,,-0.214086,52.336318
30,140.93,4.852,2,140.76,-14,938898,2.967,-3.655,-1.174,,-0.203086,52.321318
31,0,0,0,140.76,0,938898,0,0,0,,-3.170086,55.976318
32,140.94,4.904,3,140.76,-16,938898,2.97,-3.66,-1.352,,-0.200086,52.316318
25,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
27,141.09,4.908,1,140.94,-11,938898,3.026,-3.749,-0.936,,-0.144086,52.227318
28,141.1,4.864,0,140.94,-12,938898,2.988,-3.702,-1.011,,-0.182086,52.274318
29,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
30,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
31,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
32,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
25,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
26,141.09,4.804,0,140.94,-10,938898,2.972,-3.681,-0.834,,-0.198086,52.295318
27,141.09,4.908,1,140.94,-11,938898,3.026,-3.749,-0.936,,-0.144086,52.227318
28,141.1,4.864,0,140.94,-12,938898,2.988,-3.702,-1.011,,-0.182086,52.274318
29,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
30,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
31,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
32,0,0,0,140.94,0,938898,0,0,0,,-3.170086,55.976318
25,0,0,0,141.12,0,939099,0,0,0,,-3.170086,55.976318
27,141.27,4.932,3,141.12,-11,939099,3.029,-3.777,-0.941,,-0.141086,52.199318
28,141.28,4.952,0,141.12,-12,939099,3.031,-3.779,-1.03,,-0.139086,52.197318
29,141.29,4.964,0,141.12,-13,939099,3.025,-3.774,-1.117,,-0.145086,52.202318
30,141.29,4.972,0,141.12,-14,939099,3.017,-3.765,-1.203,,-0.153086,52.211318
31,0,0,0,141.12,0,939099,0,0,0,,-3.170086,55.976318
32,0,0,0,141.12,0,939099,0,0,0,,-3.170086,55.976318
25,0,0,0,141.12,0,939099,0,0,0,,-3.170086,55.976318
27,141.27,4.932,3,141.12,-11,939099,3.029,-3.777,-0.941,,-0.141086,52.199318
28,141.28,4.952,0,141.12,-12,939099,3.031,-3.779,-1.03,,-0.139086,52.197318
29,141.29,4.964,0,141.12,-13,939099,3.025,-3.774,-1.117,,-0.145086,52.202318
30,141.29,4.972,0,141.12,-14,939099,3.017,-3.765,-1.203,,-0.153086,52.211318
31,0,0,0,141.12,0,939099,0,0,0,,-3.170086,55.976318
32,0,0,0,141.12,0,939099,0,0,0,,-3.170086,55.976318
25,0,0,0,141.3,0,939099,0,0,0,,-3.170086,55.976318
27,141.45,4.928,2,141.3,-11,939099,3.015,-3.783,-0.94,,-0.155086,52.193318
28,141.46,4.948,0,141.3,-12,939099,3.016,-3.785,-1.029,,-0.154086,52.191318
29,141.47,4.972,2,141.3,-13,939099,3.018,-3.789,-1.118,,-0.152086,52.187318
30,141.47,4.984,0,141.3,-14,939099,3.012,-3.783,-1.206,,-0.158086,52.193318
31,141.48,5.012,1,141.3,-15,939099,3.016,-3.787,-1.297,,-0.154086,52.189318
32,141.48,5.044,0,141.3,-16,939099,3.02,-3.794,-1.39,,-0.150086,52.182318
25,0,0,0,141.3,0,939099,0,0,0,,-3.170086,55.976318
27,141.45,4.928,2,141.3,-11,939099,3.015,-3.783,-0.94,,-0.155086,52.193318
28,141.46,4.948,0,141.3,-12,939099,3.016,-3.785,-1.029,,-0.154086,52.191318
29,141.47,4.972,2,141.3,-13,939099,3.018,-3.789,-1.118,,-0.152086,52.187318
30,141.47,4.984,0,141.3,-14,939099,3.012,-3.783,-1.206,,-0.158086,52.193318
31,141.48,5.012,1,141.3,-15,939099,3.016,-3.787,-1.297,,-0.154086,52.189318
32,141.48,5.044,0,141.3,-16,939099,3.02,-3.794,-1.39,,-0.150086,52.182318
25,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
27,141.63,4.94,1,141.48,-11,939099,3.01,-3.802,-0.943,,-0.160086,52.174318
29,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
30,141.65,5.008,0,141.48,-14,939099,3.015,-3.811,-1.212,,-0.155086,52.165318
31,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
32,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
25,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
27,141.63,4.94,1,141.48,-11,939099,3.01,-3.802,-0.943,,-0.160086,52.174318
29,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
30,141.65,5.008,0,141.48,-14,939099,3.015,-3.811,-1.212,,-0.155086,52.165318
31,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
32,0,0,0,141.48,0,939099,0,0,0,,-3.170086,55.976318
25,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
27,141.81,4.964,1,141.66,-11,939099,3.013,-3.83,-0.947,,-0.157086,52.146318
29,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
30,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
31,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
32,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
25,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
27,141.81,4.964,1,141.66,-11,939099,3.013,-3.83,-0.947,,-0.157086,52.146318
29,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
30,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
31,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
32,0,0,0,141.66,0,939099,0,0,0,,-3.170086,55.976318
25,141.98,4.964,1,141.84,-9,939299,3.02,-3.862,-0.777,,-0.150086,52.114318
27,141.99,5.004,0,141.84,-11,939299,3.025,-3.87,-0.955,,-0.145086,52.106318
29,142.01,5.088,1,141.84,-13,939299,3.052,-3.907,-1.145,,-0.118086,52.069318
30,142.01,5.1,0,141.84,-14,939299,3.046,-3.9,-1.234,,-0.124086,52.076318
31,142.02,5.152,0,141.84,-15,939299,3.063,-3.922,-1.333,,-0.107086,52.054318
32,0,0,0,141.84,0,939299,0,0,0,,-3.170086,55.976318
25,141.98,4.964,1,141.84,-9,939299,3.02,-3.862,-0.777,,-0.150086,52.114318
27,141.99,5.004,0,141.84,-11,939299,3.025,-3.87,-0.955,,-0.145086,52.106318
28,142,5.056,2,141.84,-12,939299,3.045,-3.897,-1.051,,-0.125086,52.079318
29,142.01,5.088,1,141.84,-13,939299,3.052,-3.907,-1.145,,-0.118086,52.069318
30,142.01,5.1,0,141.84,-14,939299,3.046,-3.9,-1.234,,-0.124086,52.076318
31,142.02,5.152,0,141.84,-15,939299,3.063,-3.922,-1.333,,-0.107086,52.054318
32,0,0,0,141.84,0,939299,0,0,0,,-3.170086,55.976318
25,142.16,4.972,1,142.02,-9,939299,3.013,-3.878,-0.778,,-0.157086,52.098318
27,142.17,5.016,0,142.02,-11,939299,3.02,-3.889,-0.957,,-0.150086,52.087318
28,142.18,5.068,1,142.02,-12,939299,3.04,-3.915,-1.054,,-0.130086,52.061318
29,142.19,5.1,0,142.02,-13,939299,3.047,-3.925,-1.147,,-0.123086,52.051318
30,142.19,5.112,0,142.02,-14,939299,3.041,-3.919,-1.237,,-0.129086,52.057318
31,142.2,5.136,0,142.02,-15,939299,3.041,-3.919,-1.329,,-0.129086,52.057318
32,0,0,0,142.02,0,939299,0,0,0,,-3.170086,55.976318
25,142.16,4.972,1,142.02,-9,939299,3.013,-3.878,-0.778,,-0.157086,52.098318
27,142.17,5.016,0,142.02,-11,939299,3.02,-3.889,-0.957,,-0.150086,52.087318
28,142.18,5.068,1,142.02,-12,939299,3.04,-3.915,-1.054,,-0.130086,52.061318
29,142.19,5.1,0,142.02,-13,939299,3.047,-3.925,-1.147,,-0.123086,52.051318
30,142.19,5.112,0,142.02,-14,939299,3.041,-3.919,-1.237,,-0.129086,52.057318
31,142.2,5.136,0,142.02,-15,939299,3.041,-3.919,-1.329,,-0.129086,52.057318
32,0,0,0,142.02,0,939299,0,0,0,,-3.170086,55.976318
30,0,0,0,142.2,0,939299,0,0,0,,-3.170086,55.976318
31,0,0,0,142.2,0,939299,0,0,0,,-3.170086,55.976318
32,0,0,0,142.2,0,939299,0,0,0,,-3.170086,55.976318
30,0,0,0,142.2,0,939299,0,0,0,,-3.170086,55.976318
31,0,0,0,142.2,0,939299,0,0,0,,-3.170086,55.976318
32,0,0,0,142.2,0,939299,0,0,0,,-3.170086,55.976318
27,142.53,5.14,0,142.38,-11,939299,3.069,-4.005,-0.981,,-0.101086,51.971318
28,142.54,5.192,0,142.38,-12,939299,3.09,-4.031,-1.079,,-0.080086,51.945318
29,0,0,0,142.38,0,939299,0,0,0,,-3.170086,55.976318
30,142.55,5.184,0,142.38,-14,939299,3.059,-3.993,-1.254,,-0.111086,51.983318
31,142.56,5.268,0,142.38,-15,939299,3.094,-4.04,-1.363,,-0.076086,51.936318
32,0,0,0,142.38,0,939299,0,0,0,,-3.170086,55.976318
27,142.53,5.14,0,142.38,-11,939299,3.069,-4.005,-0.981,,-0.101086,51.971318
28,142.54,5.192,0,142.38,-12,939299,3.09,-4.031,-1.079,,-0.080086,51.945318
29,0,0,0,142.38,0,939299,0,0,0,,-3.170086,55.976318
30,142.55,5.184,0,142.38,-14,939299,3.059,-3.993,-1.254,,-0.111086,51.983318
31,142.56,5.268,0,142.38,-15,939299,3.094,-4.04,-1.363,,-0.076086,51.936318
32,0,0,0,142.38,0,939299,0,0,0,,-3.170086,55.976318
29,142.73,5.2,0,142.56,-13,939499,3.069,-4.032,-1.17,,-0.101086,51.944318
30,142.73,5.22,0,142.56,-14,939499,3.067,-4.031,-1.263,,-0.103086,51.945318
31,142.74,5.232,0,142.56,-15,939499,3.06,-4.022,-1.354,,-0.110086,51.954318
32,142.74,5.26,1,142.56,-16,939499,3.061,-4.024,-1.45,,-0.109086,51.952318
27,142.71,5.16,1,142.56,-11,939499,3.069,-4.03,-0.985,,-0.101086,51.946318
28,142.72,5.168,1,142.56,-12,939499,3.063,-4.022,-1.074,,-0.107086,51.954318
29,142.73,5.2,0,142.56,-13,939499,3.069,-4.032,-1.17,,-0.101086,51.944318
30,142.73,5.22,0,142.56,-14,939499,3.067,-4.031,-1.263,,-0.103086,51.945318
31,142.74,5.232,0,142.56,-15,939499,3.06,-4.022,-1.354,,-0.110086,51.954318
32,142.74,5.26,1,142.56,-16,939499,3.061,-4.024,-1.45,,-0.109086,51.952318
29,0,0,0,142.74,0,939499,0,0,0,,-3.170086,55.976318
30,0,0,0,142.74,0,939499,0,0,0,,-3.170086,55.976318
31,142.92,5.24,0,142.74,-15,939499,3.052,-4.037,-1.356,,-0.118086,51.939318
32,142.92,5.224,0,142.74,-16,939499,3.028,-4.006,-1.44,,-0.142086,51.970318
29,0,0,0,142.74,0,939499,0,0,0,,-3.170086,55.976318
30,0,0,0,142.74,0,939499,0,0,0,,-3.170086,55.976318
31,142.92,5.24,0,142.74,-15,939499,3.052,-4.037,-1.356,,-0.118086,51.939318
32,142.92,5.224,0,142.74,-16,939499,3.028,-4.006,-1.44,,-0.142086,51.970318
27,143.07,5.288,0,142.92,-11,939499,3.119,-4.149,-1.009,,-0.051086,51.827318
28,143.08,5.288,0,142.92,-12,939499,3.108,-4.135,-1.099,,-0.062086,51.841318
29,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
30,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
31,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
32,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
27,143.07,5.288,0,142.92,-11,939499,3.119,-4.149,-1.009,,-0.051086,51.827318
28,143.08,5.288,0,142.92,-12,939499,3.108,-4.135,-1.099,,-0.062086,51.841318
29,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
30,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
31,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
32,0,0,0,142.92,0,939499,0,0,0,,-3.170086,55.976318
29,143.27,5.32,1,143.1,-13,939499,3.101,-4.154,-1.197,,-0.069086,51.822318
30,143.27,5.34,2,143.1,-14,939499,3.099,-4.153,-1.292,,-0.071086,51.823318
31,143.28,5.336,1,143.1,-15,939499,3.082,-4.131,-1.381,,-0.088086,51.845318
32,143.28,5.364,1,143.1,-16,939499,3.083,-4.133,-1.479,,-0.087086,51.843318
27,143.25,5.272,1,143.1,-11,939499,3.096,-4.147,-1.006,,-0.074086,51.829318
28,143.26,5.292,2,143.1,-12,939499,3.097,-4.148,-1.1,,-0.073086,51.828318
29,143.27,5.32,1,143.1,-13,939499,3.101,-4.154,-1.197,,-0.069086,51.822318
30,143.27,5.34,2,143.1,-14,939499,3.099,-4.153,-1.292,,-0.071086,51.823318
31,143.28,5.336,1,143.1,-15,939499,3.082,-4.131,-1.381,,-0.088086,51.845318
32,143.28,5.364,1,143.1,-16,939499,3.083,-4.133,-1.479,,-0.087086,51.843318
